"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","Mock login API","chromium","Fri Jul 04 11:13:32 GMT 2025","passed","Fri Jul 04 11:13:32 GMT 2025","","api.spec.ts","",""
"","620","Product page validation","chromium","Fri Jul 04 11:13:34 GMT 2025","passed","Fri Jul 04 11:13:35 GMT 2025","Main Page","main.spec.ts","",""
"","5760","Checkout with empty cart","chromium","Fri Jul 04 11:13:44 GMT 2025","passed","Fri Jul 04 11:13:50 GMT 2025","Main Page","main.spec.ts","",""
"","733","Add Multiple Items to Cart and Validate","chromium","Fri Jul 04 11:13:42 GMT 2025","passed","Fri Jul 04 11:13:42 GMT 2025","Main Page","main.spec.ts","",""
"","611","Validate broken products image","chromium","Fri Jul 04 11:13:35 GMT 2025","passed","Fri Jul 04 11:13:35 GMT 2025","Main Page","main.spec.ts","",""
"","5908","Checkout flow","chromium","Fri Jul 04 11:13:50 GMT 2025","passed","Fri Jul 04 11:13:55 GMT 2025","Main Page","main.spec.ts","",""
"","274","Mock products list API","chromium","Fri Jul 04 11:13:32 GMT 2025","passed","Fri Jul 04 11:13:32 GMT 2025","","api.spec.ts","",""
"","1629","Logout flow","chromium","Fri Jul 04 11:13:55 GMT 2025","passed","Fri Jul 04 11:13:57 GMT 2025","Main Page","main.spec.ts","",""
"","1583","Login Tests","chromium","Fri Jul 04 11:13:32 GMT 2025","passed","Fri Jul 04 11:13:34 GMT 2025","Main Page","main.spec.ts","",""
"","649","Add Single Item to Cart and Validate","chromium","Fri Jul 04 11:13:41 GMT 2025","passed","Fri Jul 04 11:13:42 GMT 2025","Main Page","main.spec.ts","",""
"","656","View cart (empty)","chromium","Fri Jul 04 11:13:43 GMT 2025","passed","Fri Jul 04 11:13:44 GMT 2025","Main Page","main.spec.ts","",""
"","5624","Performance glitch user","chromium","Fri Jul 04 11:13:35 GMT 2025","passed","Fri Jul 04 11:13:41 GMT 2025","Main Page","main.spec.ts","",""
"","707","Remove an Item from Cart and Validate","chromium","Fri Jul 04 11:13:42 GMT 2025","passed","Fri Jul 04 11:13:43 GMT 2025","Main Page","main.spec.ts","",""
