"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 03 11:34:12 UTC 2025","Fri Oct 03 11:34:12 UTC 2025","418","chromium","main.spec.ts","Main Page","","","Add Multiple Items to Cart and Validate",""
"passed","Fri Oct 03 11:34:06 UTC 2025","Fri Oct 03 11:34:06 UTC 2025","352","chromium","main.spec.ts","Main Page","","","Product page validation",""
"passed","Fri Oct 03 11:34:04 UTC 2025","Fri Oct 03 11:34:04 UTC 2025","69","chromium","api.spec.ts","","","","Mock login API",""
"passed","Fri Oct 03 11:34:04 UTC 2025","Fri Oct 03 11:34:04 UTC 2025","42","chromium","api.spec.ts","","","","Mock products list API",""
"passed","Fri Oct 03 11:34:12 UTC 2025","Fri Oct 03 11:34:13 UTC 2025","401","chromium","main.spec.ts","Main Page","","","Remove an Item from Cart and Validate",""
"passed","Fri Oct 03 11:34:13 UTC 2025","Fri Oct 03 11:34:19 UTC 2025","5500","chromium","main.spec.ts","Main Page","","","Checkout with empty cart",""
"passed","Fri Oct 03 11:34:19 UTC 2025","Fri Oct 03 11:34:24 UTC 2025","5622","chromium","main.spec.ts","Main Page","","","Checkout flow",""
"passed","Fri Oct 03 11:34:06 UTC 2025","Fri Oct 03 11:34:06 UTC 2025","323","chromium","main.spec.ts","Main Page","","","Validate broken products image",""
"passed","Fri Oct 03 11:34:04 UTC 2025","Fri Oct 03 11:34:06 UTC 2025","1084","chromium","main.spec.ts","Main Page","","","Login Tests",""
"passed","Fri Oct 03 11:34:06 UTC 2025","Fri Oct 03 11:34:12 UTC 2025","5298","chromium","main.spec.ts","Main Page","","","Performance glitch user",""
"passed","Fri Oct 03 11:34:13 UTC 2025","Fri Oct 03 11:34:13 UTC 2025","408","chromium","main.spec.ts","Main Page","","","View cart (empty)",""
"passed","Fri Oct 03 11:34:24 UTC 2025","Fri Oct 03 11:34:26 UTC 2025","1252","chromium","main.spec.ts","Main Page","","","Logout flow",""
"passed","Fri Oct 03 11:34:12 UTC 2025","Fri Oct 03 11:34:12 UTC 2025","388","chromium","main.spec.ts","Main Page","","","Add Single Item to Cart and Validate",""
